"INC NUMBER","OCCURRED ON","OCCURRED TO","UCR CRIME CATEGORY","100 BLOCK ADDR","ZIP","PREMISE TYPE","GRID"
"202300001465013",09/25/2023  19:00,09/26/2023  08:00,"MOTOR VEHICLE THEFT","1XX N 18TH ST","85034","APARTMENT","BA31"
"202300001462930",09/25/2023  19:11,,"AGGRAVATED ASSAULT","190XX N 27TH AVE","85027","DEPARTMENT / DISCOUNT STORE","DJ23B"
"202300001463003",09/25/2023  19:27,,"DRUG OFFENSE","51XX W MONTE VISTA RD","85035","STREET / ROADWAY / SIDEWALK","BD16"
"202300001464956",09/25/2023  19:30,09/26/2023  07:30,"BURGLARY","9XX E CAMELBACK RD","85014","GARAGE","BI29"
"202300001464872",09/25/2023  19:30,09/26/2023  07:30,"MOTOR VEHICLE THEFT","31XX N 67TH LN","85033","CONDO / TOWNHOUSE","BF12"
"202300001465514",09/25/2023  19:30,09/26/2023  06:30,"BURGLARY","33XX W FLOWER ST","85017","CHURCH / SYNAGOGUE / TEMPLE / MOSQUE","BF21"
"202300001463092",09/25/2023  19:42,,"AGGRAVATED ASSAULT","N 19TH AVE & W DUNLAP AVE","85021","GROCERY / SUPER MARKET","CH25"
"202300001466435",09/25/2023  19:55,,"LARCENY-THEFT","126XX N PARADISE VILLAGE PKWY W","85032","DEPARTMENT / DISCOUNT STORE","DB37"
"202300001464448",09/25/2023  20:00,09/26/2023  05:00,"MOTOR VEHICLE THEFT","29XX E OSBORN RD","85016","APARTMENT","BG34"
"202300001471194",09/25/2023  20:00,09/27/2023  11:30,"MOTOR VEHICLE THEFT","202XX N 32ND DR","85027","APARTMENT","EB21"
"202380006417",09/25/2023  20:00,09/25/2023  20:30,"LARCENY-THEFT","49XX E CHANDLER BLVD","85044","CONVENIENCE MARKET / STORE","JB39"
"202300001465613",09/25/2023  20:00,09/26/2023  10:30,"AGGRAVATED ASSAULT","148XX N 32ND DR","85053","SINGLE FAMILY HOUSE","DE21"
"202300001463203",09/25/2023  20:04,,"LARCENY-THEFT","47XX N 20TH ST","85016","GROCERY / SUPER MARKET","BI31A"
"202300001463233",09/25/2023  20:15,,"AGGRAVATED ASSAULT","71XX N 16TH ST","85020","APARTMENT","CD31B"
"202300001463327",09/25/2023  20:46,09/25/2023  20:46,"AGGRAVATED ASSAULT","82XX N 27TH AVE","85051","APARTMENT","CF22"
"202300001463345",09/25/2023  20:51,,"DRUG OFFENSE","S 6TH AVE & W RIVERSIDE ST","85041","STREET / ROADWAY / SIDEWALK","AF27"
"202300001464605",09/25/2023  20:52,09/26/2023  05:45,"MOTOR VEHICLE THEFT","4XX E INDIAN SCHOOL RD","85012","PARKING LOT","BG28"
"202300001463376",09/25/2023  21:12,09/25/2023  21:13,"DRUG OFFENSE","16XX N 27TH AVE","85009","STREET / ROADWAY / SIDEWALK","BD23B"
"202300001463449",09/25/2023  21:16,,"LARCENY-THEFT","89XX N 19TH AVE","85021","GROCERY / SUPER MARKET","CG25"
"202300001463674",09/25/2023  21:25,,"LARCENY-THEFT","52XX S 5TH ST","85040","APARTMENT","AD28"
"202300001466045",09/25/2023  21:30,09/26/2023  04:00,"LARCENY-THEFT","45XX W FREMONT RD","85339","SINGLE FAMILY HOUSE","AB18"
"202300001464687",09/25/2023  22:00,09/26/2023  06:45,"MOTOR VEHICLE THEFT","72XX W MCDOWELL RD","85043","APARTMENT","BC11A"
"202300001467062",09/25/2023  22:00,09/26/2023  13:00,"MOTOR VEHICLE THEFT","49XX E DESERT COVE AVE","85254","APARTMENT","CJ39"
"202300001465386",09/25/2023  22:00,09/26/2023  09:00,"LARCENY-THEFT","42XX W OSBORN RD","85019","PARKING LOT","BG19"
"202300001465099",09/25/2023  22:00,09/26/2023  08:20,"MOTOR VEHICLE THEFT","31XX W CANOTIA PL","85086","SINGLE FAMILY HOUSE","FJ21"
"202300001464627",09/25/2023  22:00,09/26/2023  05:30,"BURGLARY","33XX E BEHREND DR","85050","GARAGE","EA35"
"202300001463632",09/25/2023  22:09,09/25/2023  22:09,"AGGRAVATED ASSAULT","20XX E THOMAS RD","85016","STREET / ROADWAY / SIDEWALK","BF32"
"202300001463639",09/25/2023  22:14,,"AGGRAVATED ASSAULT","E WASHINGTON ST & N 16TH ST","85034","STREET / ROADWAY / SIDEWALK","BA30"
"202300001463699",09/25/2023  22:32,,"DRUG OFFENSE","E MORELAND ST & N 3RD ST","85004","STREET / ROADWAY / SIDEWALK","BC28B"
"202300001463719",09/25/2023  22:38,09/25/2023  22:38,"DRUG OFFENSE","22XX E BELL RD","85022","GAS / SERVICE STATION","DH32"
"202300001466970",09/25/2023  22:45,09/26/2023  11:00,"LARCENY-THEFT","79XX W CAMPBELL AVE","85033","VEHICLE","BH09"
"202300001463839",09/25/2023  23:00,,"LARCENY-THEFT","42XX S 48TH ST","85040","CONVENIENCE MARKET / STORE","AF38B"
"202300001464775",09/25/2023  23:00,09/26/2023  05:30,"BURGLARY","198XX N 33RD PL","85050","GARAGE","EA35"
"202300001466740",09/25/2023  23:00,09/26/2023  14:18,"MOTOR VEHICLE THEFT","17XX E GLENDALE AVE","85016","APARTMENT","CC31B"
"202300001463827",09/25/2023  23:23,,"DRUG OFFENSE","64XX S 12TH ST","85042","STREET / ROADWAY / SIDEWALK","AC29"
"202300001463882",09/25/2023  23:46,09/25/2023  23:47,"ROBBERY","74XX W MCDOWELL RD","85035","CONVENIENCE MARKET / STORE","BD11"
"202300001465007",09/26/2023  00:00,,"DRUG OFFENSE","34XX N 75TH AVE","85033","PARK / PLAYGROUND","BG11"
"202300001467249",09/26/2023  00:00,09/26/2023  15:44,"BURGLARY","56XX W POLLACK ST","85339","SINGLE FAMILY HOUSE","AB15"
"202300001545780",09/26/2023  00:00,10/11/2023  16:15,"BURGLARY","47XX E EDGEMONT AVE","85008","SINGLE FAMILY HOUSE","BE38"
"202300001466239",09/26/2023  00:00,09/26/2023  12:39,"LARCENY-THEFT","20XX N 75TH AVE","85035","SPECIALTY STORE","BD10"
"202300001464623",09/26/2023  00:00,,"LARCENY-THEFT","24XX W GREENBRIAR DR","85023","STREET / ROADWAY / SIDEWALK","DH23A"
"202300001468721",09/26/2023  00:00,,"DRUG OFFENSE","17XX W SOUTHERN AVE","85041","RETAIL BUSINESS","AC25"
"202300001539306",09/26/2023  00:00,10/06/2023  00:00,"LARCENY-THEFT","44XX E CALLE ALLEGRE","85018","VEHICLE","BI38"
"202300001478685",09/26/2023  00:00,,"LARCENY-THEFT","210XX N TATUM BLVD","85054","DEPARTMENT / DISCOUNT STORE","EC39"
"202300001464767",09/26/2023  00:00,,"ARSON","17XX W VOGEL AVE","85021",,"CH25"
"202300001476389",09/26/2023  00:00,09/26/2023  05:00,"MOTOR VEHICLE THEFT","6XX W DARROW ST","85041","STREET / ROADWAY / SIDEWALK","AB27"
"202300001548581",09/26/2023  00:00,09/26/2023  00:00,"LARCENY-THEFT","29XX E CACTUS RD","85028","NURSING CARE","DA34"
"202300001465146",09/26/2023  00:01,09/26/2023  06:00,"LARCENY-THEFT","2XX W LONE CACTUS DR","85027","PARKING LOT","EC27"
"202300001465861",09/26/2023  00:01,09/26/2023  11:00,"MOTOR VEHICLE THEFT","1XX N DUPONT CIR","85034","APARTMENT","BA38B"
"202300001463933",09/26/2023  00:06,,"DRUG OFFENSE","34XX W GREENWAY RD","85053","VEHICLE","DE21"
"202300001464100",09/26/2023  00:40,09/26/2023  01:23,"BURGLARY","24XX W LE MARCHE AVE","85023","SINGLE FAMILY HOUSE","DF23"
"202300001464050",09/26/2023  00:56,09/26/2023  00:56,"ROBBERY","17XX W MOUNTAIN VIEW RD","85021","STREET / ROADWAY / SIDEWALK","CH25"
"202300001473005",09/26/2023  01:00,09/26/2023  07:00,"BURGLARY","15XX E GARY WAY","85042","SINGLE FAMILY HOUSE","IB30"
"202300001465039",09/26/2023  01:00,09/26/2023  05:00,"LARCENY-THEFT","38XX N 59TH DR","85033","DRIVEWAY","BG14"
"202300001465549",09/26/2023  01:15,,"BURGLARY","5XX W BEVERLY LN","85023","GARAGE","DG27"
"202300001491677",09/26/2023  01:15,10/01/2023  00:00,"LARCENY-THEFT","13XX W ORAIBI DR","85027","SINGLE FAMILY HOUSE","EA26"
"202300001464230",09/26/2023  01:30,09/26/2023  02:30,"MOTOR VEHICLE THEFT","102XX W PAYSON RD","85353","STREET / ROADWAY / SIDEWALK","AG04"
"202300001465698",09/26/2023  01:45,09/26/2023  05:30,"AGGRAVATED ASSAULT","39XX W WINDSOR AVE","85009","VEHICLE","BE19"
"202300001464151",09/26/2023  01:52,09/26/2023  02:12,"DRUG OFFENSE","74XX W INDIAN SCHOOL RD","85033","PARKING LOT","BG11"
"202300001464653",09/26/2023  02:00,09/26/2023  02:44,"BURGLARY","22XX E BEHREND DR","85024","MOBILE HOME","EA32"
"202300001464186",09/26/2023  02:02,09/26/2023  02:06,"BURGLARY","29XX N 43RD AVE","85019","RESTAURANT","BF19"
"202300001464388",09/26/2023  02:25,,"ARSON","12XX W JEFFERSON ST","85007","WAREHOUSE / FACTORY","BA26"
"202300001464242",09/26/2023  02:44,,"ROBBERY","E SOUTHERN AVE & S 20TH ST","85040","PARK / PLAYGROUND","AC31"
"202300001464834",09/26/2023  03:00,09/26/2023  03:10,"LARCENY-THEFT","29XX E JOHN CABOT DR","85032","DRIVEWAY","DI34"
"202300001464549",09/26/2023  03:07,09/26/2023  03:10,"LARCENY-THEFT","216XX N 3RD AVE","85027","FENCED COMMERCIAL YARD","EC27"
"202300001464644",09/26/2023  03:10,09/26/2023  03:20,"MOTOR VEHICLE THEFT","29XX E JOHN CABOT DR","85032","SINGLE FAMILY HOUSE","DI34"
"202300001469584",09/26/2023  03:15,09/27/2023  03:24,"BURGLARY","18XX W ROSE GARDEN LN","85027","SPECIALTY STORE","EB25"
"202300001464286",09/26/2023  03:15,09/26/2023  03:20,"ROBBERY","43XX W MCDOWELL RD","85043","PARKING LOT","BC18A"
"202300001464333",09/26/2023  03:20,,"ROBBERY","16XX E BELL RD","85022","CONVENIENCE MARKET / STORE","DG31"
"202300001464323",09/26/2023  03:45,09/26/2023  03:45,"AGGRAVATED ASSAULT","E OSBORN RD & N CENTRAL AVE","85012","LIGHT RAIL PLATFORM","BF28"
"202300001489819",09/26/2023  04:00,09/26/2023  11:00,"RAPE","30XX N 79TH AVE","85033","SINGLE FAMILY HOUSE","BF09"
"202300001465517",09/26/2023  04:11,09/26/2023  04:18,"BURGLARY","1XX E CAMELBACK RD","85012","SPECIALTY STORE","BJ28"
"202300001464358",09/26/2023  04:14,,"BURGLARY","104XX N 31ST AVE","85051","SPECIALTY STORE","CI22"
"202300001465829",09/26/2023  04:30,,"LARCENY-THEFT","64XX W WATKINS ST","85043","SINGLE FAMILY HOUSE","AH13"
"202300001464397",09/26/2023  04:45,,"AGGRAVATED ASSAULT","17XX E ENCINAS LN","85040","SINGLE FAMILY HOUSE","AF31"
"202300001464546",09/26/2023  05:00,,"LARCENY-THEFT","34XX E SKY HARBOR AC","85034","AIRPORT","AI35"
"202300001464459",09/26/2023  05:29,,"AGGRAVATED ASSAULT","23XX W GLENROSA AVE","85015","APARTMENT","BH23A"
"202300001464503",09/26/2023  05:49,,"LARCENY-THEFT","32XX E GREENWAY RD","85032","RESTAURANT","DE35B"
"202300001464530",09/26/2023  05:57,,"DRUG OFFENSE","31XX N BLACK CANYON AC","85015","OTHER","BF23A"
"202300001464541",09/26/2023  06:00,09/26/2023  06:00,"DRUG OFFENSE","7XX W DUNLAP AVE","85021","OFFICE / COMMERCIAL BUILDING","CG26"
"202300001464557",09/26/2023  06:05,09/26/2023  06:05,"BURGLARY","214XX N 2ND AVE","85027","SPECIALTY STORE","EC27"
"202300001464711",09/26/2023  07:00,,"DRUG OFFENSE","28XX W CACTUS RD","85029","RESTAURANT","DA22"
"202300001467646",09/26/2023  07:00,09/26/2023  11:00,"MOTOR VEHICLE THEFT","58XX S 45TH ST","85040","DRIVEWAY","AD38"
"202300001465018",09/26/2023  07:15,09/26/2023  08:15,"BURGLARY","87XX W EARLL DR","85037","SINGLE FAMILY HOUSE","BF07"
"202300001464782",09/26/2023  07:16,09/26/2023  07:16,"DRUG OFFENSE","35XX W DUNLAP AVE","85051","BUS STOP","CH20"
"202300001473700",09/26/2023  07:30,09/26/2023  20:30,"LARCENY-THEFT","2XX N 12TH ST","85034","APARTMENT","BA29"
"202300001482030",09/26/2023  08:00,09/26/2023  09:00,"AGGRAVATED ASSAULT","31XX E ATLANTA AVE","85040","DRIVEWAY","AE34"
"202300001468731",09/26/2023  08:00,09/26/2023  17:00,"LARCENY-THEFT","42XX S 46TH PL","85040","CONDO / TOWNHOUSE","AF38B"
"202300001470167",09/26/2023  08:00,09/27/2023  05:35,"MOTOR VEHICLE THEFT","100XX N 7TH ST","85020","APARTMENT","CI29"
"202300001465029",09/26/2023  08:20,,"LARCENY-THEFT","106XX N 32ND ST","85028","DRUG STORE","CJ34"
"202300001465060",09/26/2023  08:30,,"AGGRAVATED ASSAULT","53XX N 27TH AVE","85017","RETAIL BUSINESS","BJ22"
"202300001465126",09/26/2023  08:45,,"AGGRAVATED ASSAULT","N 51ST AVE & W PAPAGO AC","85043","VEHICLE","BC16B"
"202300001468572",09/26/2023  09:00,09/26/2023  17:45,"LARCENY-THEFT","16XX E BASELINE RD","85042","OFFICE / COMMERCIAL BUILDING","IB31"
"202300001466730",09/26/2023  09:00,,"ROBBERY","N 45TH AVE & W THOMAS RD","85031","BUS STOP","BE18"
"202300001467690",09/26/2023  09:00,09/26/2023  17:00,"MOTOR VEHICLE THEFT","72XX N 35TH AVE","85051","STREET / ROADWAY / SIDEWALK","CD20"
"202300001465231",09/26/2023  09:12,09/26/2023  09:12,"LARCENY-THEFT","26XX N 44TH ST","85008","PARKING GARAGE","BE37"
"202300001465253",09/26/2023  09:16,,"LARCENY-THEFT","25XX W CACTUS RD","85029","PARKING LOT","DA23"
"202300001465242",09/26/2023  09:16,09/26/2023  09:16,"DRUG OFFENSE","94XX N CAVE CREEK RD","85020","BUS STOP","CH29"
"202300001465354",09/26/2023  09:30,,"ROBBERY","19XX W CAMELBACK RD","85015","DEPARTMENT / DISCOUNT STORE","BI25"
"202300001465622",09/26/2023  09:30,,"LARCENY-THEFT","198XX N 27TH AVE","85027","CONVENIENCE MARKET / STORE","EA22"
"202300001465375",09/26/2023  09:37,,"LARCENY-THEFT","15XX E BROADWAY RD","85040","CONVENIENCE MARKET / STORE","AF30"
"202300001539108",09/26/2023  10:00,10/09/2023  23:00,"MOTOR VEHICLE THEFT","XX E BELL RD","85022","PARKING LOT","DH28"
"202300001466113",09/26/2023  10:00,09/26/2023  12:00,"BURGLARY","63XX W HESS ST","85043","SINGLE FAMILY HOUSE","AH13"
"202300001466133",09/26/2023  10:23,,"DRUG OFFENSE","28XX W CACTUS RD","85029","PARKING LOT","DB22"
"202300001465647",09/26/2023  10:32,09/26/2023  10:36,"DRUG OFFENSE","51XX W INDIAN SCHOOL RD","85031","RESTAURANT","BG16"
"202300001465725",09/26/2023  10:35,,"DRUG OFFENSE","56XX S 16TH PL","85040","SINGLE FAMILY HOUSE","AD31"
"202300001470582",09/26/2023  10:35,,"DRUG OFFENSE","8XX E BROADWAY RD","85040","PARKING LOT","AF29"
"202300001465695",09/26/2023  10:43,,"DRUG OFFENSE","19XX W DUNLAP AVE","85021","PARK AND RIDE","CG24"
"202300001496130",09/26/2023  11:00,10/02/2023  08:53,"BURGLARY","11XX E ORCHID LN","85020","SINGLE FAMILY HOUSE","CG29"
"202300001503515",09/26/2023  11:00,09/26/2023  11:45,"LARCENY-THEFT","17XX W THUNDERBIRD RD","85023","SCHOOL-ELEMENTARY/SECONDARY","DD25"
"202380006292",09/26/2023  11:01,09/26/2023  11:02,"LARCENY-THEFT","16XX W LYNWOOD ST","85007","OTHER","BC25A"
"202300001465856",09/26/2023  11:10,,"AGGRAVATED ASSAULT","N 21ST AVE & W ADAMS ST","85009","STREET / ROADWAY / SIDEWALK","BA24"
"202300001465843",09/26/2023  11:17,,"DRUG OFFENSE","80XX N 27TH AVE","85051","GAS / SERVICE STATION","CF22"
"202300001465944",09/26/2023  11:30,09/26/2023  11:39,"BURGLARY","9XX W MOHAVE ST","85007","APARTMENT","AI26"
"202300001465920",09/26/2023  11:33,09/26/2023  11:34,"DRUG OFFENSE","31XX E BROADWAY RD","85040","VEHICLE","AF34B"
"202380006373",09/26/2023  11:57,,"LARCENY-THEFT","56XX N 7TH ST","85012","SPECIALTY STORE","CA28"
"202300001468737",09/26/2023  12:00,09/26/2023  17:15,"MOTOR VEHICLE THEFT","23XX W COLUMBINE DR","85029","STREET / ROADWAY / SIDEWALK","DB23"
"202380006308",09/26/2023  12:00,09/27/2023  19:30,"LARCENY-THEFT","66XX N CHATELAINE PL","85014","SINGLE FAMILY HOUSE","CC29"
"202300001466613",09/26/2023  12:11,,"ARSON","20XX N 72ND LN","85035","SINGLE FAMILY HOUSE","BD11"
"202380006354",09/26/2023  12:26,09/26/2023  13:16,"LARCENY-THEFT","54XX S 7TH ST","85040","SCHOOL-ELEMENTARY/SECONDARY","AD29"
"202300001466265",09/26/2023  12:30,,"LARCENY-THEFT","50XX N CENTRAL AVE","85013","SPECIALTY STORE","BJ27"
"202300001466371",09/26/2023  12:37,09/26/2023  13:04,"LARCENY-THEFT","25XX W VAN BUREN ST","85009","DEPARTMENT / DISCOUNT STORE","BB23"
"202300001466269",09/26/2023  12:44,,"AGGRAVATED ASSAULT","44XX E MCDOWELL RD","85008","DRUG STORE","BD38"
"202300001466353",09/26/2023  12:55,,"LARCENY-THEFT","1XX N 37TH AVE","85009","PARKING LOT","BA20"
"202300001466347",09/26/2023  12:58,09/26/2023  12:58,"LARCENY-THEFT","89XX N 19TH AVE","85021","CONVENIENCE MARKET / STORE","CG25"
"202300001466500",09/26/2023  13:00,09/26/2023  13:35,"LARCENY-THEFT","47XX E BELL RD","85032","RESTAURANT","DG38"
"202380006384",09/26/2023  13:00,09/26/2023  14:00,"LARCENY-THEFT","6XX N 6TH AVE","85003","APARTMENT","BB27"
"202300001466382",09/26/2023  13:05,,"AGGRAVATED ASSAULT","23XX W NORTHERN AVE","85021","ALLEY","CF23A"
"202300001466398",09/26/2023  13:06,,"LARCENY-THEFT","73XX N 27TH AVE","85051","APARTMENT","CD22"
"202300001475777",09/26/2023  13:15,09/26/2023  14:45,"LARCENY-THEFT","162XX S 48TH ST","85048","SCHOOL-ELEMENTARY/SECONDARY","JC39"
"202300001466471",09/26/2023  13:25,,"MOTOR VEHICLE THEFT","23XX E ROOSEVELT ST","85006","APARTMENT","BC32B"
"202380006290",09/26/2023  13:30,09/26/2023  15:30,"LARCENY-THEFT","50XX E WASHINGTON ST","85034","OTHER","BA39"
"202300001466655",09/26/2023  13:30,09/26/2023  13:45,"LARCENY-THEFT","61XX N 35TH AVE","85017","DEPARTMENT / DISCOUNT STORE","CB21"
"202300001466511",09/26/2023  13:30,09/26/2023  13:30,"AGGRAVATED ASSAULT","N 19TH AVE & W BETHANY HOME RD","85015","BUS STOP","CA24"
"202300001469825",09/26/2023  14:00,09/27/2023  05:45,"BURGLARY","12XX E ALTA VISTA RD","85042","CONSTRUCTION SITE","AC30"
